EC-Lab ASCII FILE
Nb header lines : 70                          

Cyclic Voltammetry Advanced

Run on channel : 1 (SN 1732)
User : 
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Ewe,I filtering : 50 kHz
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 06/21/2021 17:22:49.735
Loaded Setting File :  NONE
Saved on :
	File : Cubes_Tim_01MKHCO3_21062021_B_t1_02_CVA_C01.mpr
	Directory : C:\Users\DEMS 2019\Documents\EC-Lab\Data\Jorge\
	Host : 192.168.1.101
Device : SP-200 (SN 0161)
Address : USB
EC-Lab for windows v11.36 (software)
Internet server v11.36 (firmware)
Command interpretor v11.36 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Cable : standard
Reference electrode : SCE Saturated Calomel Electrode (0,241 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
Cycle Definition : Charge/Discharge alternance
Ei (V)              -0,010              
vs.                 Ref                 
ti (h:m:s)          0:00:0,0000         
dti (s)             1,0000              
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              0,540               
vs.                 Ref                 
t1 (h:m:s)          0:00:0,0000         
dt1 (s)             0,0000              
Step percent        50                  
N                   20                  
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             100 mA              
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           6                   
E2 (V)              -1,250              
vs.                 Ref                 
t2 (h:m:s)          0:00:0,0000         
dt2 (s)             0,1000              
nc cycles           200                 
nr                  1                   
Reverse Scan        1                   
Ef (V)              0,490               
vs.                 Ref                 
tf (h:m:s)          0:10:0,0000         
dtf (s)             0,1000              

Number of loops : 1
Loop 0 from point number 0 to 9824

mode	ox/red	error	control changes	Ns changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	P/W	
2	0	0	1	0	0	8,441655786745396E+002	1,3618678E-001	1,3582468E-001	-3,264209123545403E-002	3,000000000000000E+000	-2,0110009E+000	38	-4,4336016E-006
2	0	0	1	0	0	8,448321786576998E+002	1,2952064E-001	1,2913758E-001	-3,314958261608436E-002	3,000000000000000E+000	-2,0110228E+000	38	-4,2808570E-006
2	0	0	1	0	0	8,454987786408601E+002	1,2285467E-001	1,2246574E-001	-3,354940148547589E-002	3,000000000000000E+000	-2,0110452E+000	38	-4,1086523E-006
2	0	0	1	0	0	8,461651786240254E+002	1,1619077E-001	1,1578474E-001	-3,414168710327492E-002	3,000000000000000E+000	-2,0110681E+000	38	-3,9530864E-006
2	0	0	1	0	0	8,468317786071857E+002	1,0952465E-001	1,0913692E-001	-3,486616506032070E-002	3,000000000000000E+000	-2,0110910E+000	38	-3,8051860E-006
2	0	0	1	0	0	8,474983785903460E+002	1,0285870E-001	1,0246893E-001	-3,503159105501649E-002	3,000000000000000E+000	-2,0111144E+000	38	-3,5896496E-006
2	0	0	1	0	0	8,481647785735113E+002	9,6194789E-002	9,5786296E-002	-3,561467013261072E-002	3,000000000000000E+000	-2,0111380E+000	38	-3,4113973E-006
2	0	0	1	0	0	8,488313785566716E+002	8,9528762E-002	8,9139968E-002	-3,646574928372838E-002	3,000000000000000E+000	-2,0111618E+000	38	-3,2505557E-006
2	0	0	1	0	0	8,494979785398318E+002	8,2862727E-002	8,2466453E-002	-3,700069636064407E-002	3,000000000000000E+000	-2,0111864E+000	38	-3,0513163E-006
2	0	0	1	0	0	8,501644785229946E+002	7,6197743E-002	7,5795338E-002	-3,782406542951056E-002	3,000000000000000E+000	-2,0112114E+000	38	-2,8668878E-006
2	1	0	1	0	0	8,508309785061574E+002	6,9532767E-002	6,9123380E-002	-3,876534533965137E-002	3,000000000000000E+000	-2,0112369E+000	38	-2,6795917E-006
2	0	0	1	0	0	8,514975784893177E+002	6,2866740E-002	6,2466864E-002	-3,927338553922122E-002	3,000000000000000E+000	-2,0112629E+000	38	-2,4532851E-006
2	0	0	1	0	0	8,521641784724779E+002	5,6200698E-002	5,5799082E-002	-3,961250497255703E-002	3,000000000000000E+000	-2,0112891E+000	38	-2,2103413E-006
2	0	0	1	0	0	8,528305784556433E+002	4,9536783E-002	4,9148437E-002	-4,026369610325853E-002	3,000000000000000E+000	-2,0113158E+000	38	-1,9788977E-006
2	0	0	1	0	0	8,534971784388035E+002	4,2870749E-002	4,2461701E-002	-4,110271380036634E-002	3,000000000000000E+000	-2,0113432E+000	38	-1,7452911E-006
2	0	0	1	0	0	8,541637784219638E+002	3,6204711E-002	3,5821322E-002	-4,182887118517603E-002	3,000000000000000E+000	-2,0113711E+000	38	-1,4983655E-006
2	0	0	1	0	0	8,548301784051291E+002	2,9540787E-002	2,9151514E-002	-4,257823630355595E-002	3,000000000000000E+000	-2,0113993E+000	38	-1,2412200E-006
2	0	0	1	0	0	8,554967783882894E+002	2,2874862E-002	2,2479232E-002	-4,311421439313373E-002	3,000000000000000E+000	-2,0114281E+000	38	-9,6917449E-007
2	0	0	1	0	0	8,561633783714497E+002	1,6208727E-002	1,5829328E-002	-4,383048033676098E-002	3,000000000000000E+000	-2,0114572E+000	38	-6,9380707E-007
2	0	0	1	0	0	8,568298783546124E+002	9,5437476E-003	9,1468599E-003	-4,496627639683237E-002	3,000000000000000E+000	-2,0114872E+000	38	-4,1130022E-007
2	0	0	1	0	0	8,574963783377752E+002	2,8739779E-003	2,4666197E-003	-4,562808088723136E-002	3,000000000000000E+000	-2,0115175E+000	38	-1,1254713E-007
2	0	0	1	0	0	8,581629783209355E+002	-3,7871597E-003	-4,2226128E-003	-4,645029692081792E-002	3,000000000000000E+000	-2,0115483E+000	38	1,9614161E-007
2	0	0	1	0	0	8,588295783040958E+002	-1,0453301E-002	-1,0905118E-002	-4,719971208527074E-002	3,000000000000000E+000	-2,0115798E+000	38	5,1471841E-007
2	0	0	1	0	0	8,594959782872611E+002	-1,7117234E-002	-1,7562279E-002	-4,801169508311642E-002	3,000000000000000E+000	-2,0116115E+000	38	8,4319481E-007
2	0	0	1	0	0	8,601625782704214E+002	-2,3783164E-002	-2,4233624E-002	-4,857451189326245E-002	3,000000000000000E+000	-2,0116436E+000	38	1,1771365E-006
2	0	0	1	0	0	8,608291782535816E+002	-3,0449206E-002	-3,0902779E-002	-4,942881414937639E-002	3,000000000000000E+000	-2,0116763E+000	38	1,5274877E-006
2	1	0	1	0	0	8,614955782367470E+002	-3,7113242E-002	-3,7554797E-002	-5,048640150885486E-002	3,000000000000000E+000	-2,0117097E+000	38	1,8960066E-006
2	0	0	1	0	0	8,621621782199072E+002	-4,3779176E-002	-4,4240132E-002	-5,173175185301560E-002	3,000000000000000E+000	-2,0117438E+000	38	2,2886195E-006
2	0	0	1	0	0	8,628287782030675E+002	-5,0445206E-002	-5,0930563E-002	-5,277853211276784E-002	3,000000000000000E+000	-2,0117786E+000	38	2,6880405E-006
2	0	0	1	0	0	8,634952781862303E+002	-5,7110306E-002	-5,7578158E-002	-5,369157016804904E-002	3,000000000000000E+000	-2,0118141E+000	38	3,0914616E-006
2	0	0	1	0	0	8,641617781693931E+002	-6,3775286E-002	-6,4272963E-002	-5,449601749911415E-002	3,000000000000000E+000	-2,0118499E+000	38	3,5026205E-006
2	0	0	1	0	0	8,648283781525533E+002	-7,0441216E-002	-7,0909031E-002	-5,556138630782856E-002	3,000000000000000E+000	-2,0118868E+000	38	3,9398042E-006
2	0	0	1	0	0	8,654949781357136E+002	-7,7107266E-002	-7,7571534E-002	-5,703679640209103E-002	3,000000000000000E+000	-2,0119245E+000	38	4,4244316E-006
2	0	0	1	0	0	8,661613781188789E+002	-8,3771296E-002	-8,4220476E-002	-5,822717762740885E-002	3,000000000000000E+000	-2,0119631E+000	38	4,9039209E-006
2	0	0	1	0	0	8,668279781020392E+002	-9,0437219E-002	-9,0877414E-002	-5,918188757127484E-002	3,000000000000000E+000	-2,0120025E+000	38	5,3782969E-006
2	0	0	1	0	0	8,674945780851995E+002	-9,7103141E-002	-9,7550690E-002	-6,071470970631415E-002	3,000000000000000E+000	-2,0120425E+000	38	5,9227618E-006
2	0	0	1	0	0	8,681609780683648E+002	-1,0376731E-001	-1,0419599E-001	-6,190683820412590E-002	3,000000000000000E+000	-2,0120835E+000	38	6,4504443E-006
2	0	0	1	0	0	8,688275780515251E+002	-1,1043323E-001	-1,1086072E-001	-6,320757688692558E-002	3,000000000000000E+000	-2,0121255E+000	38	7,0072374E-006
2	0	0	1	0	0	8,694941780346853E+002	-1,1709926E-001	-1,1752373E-001	-6,491753545946594E-002	3,000000000000000E+000	-2,0121686E+000	38	7,6293509E-006
2	0	0	1	0	0	8,701607780178456E+002	-1,2376522E-001	-1,2420422E-001	-6,644286154307455E-002	3,000000000000000E+000	-2,0122125E+000	38	8,2524839E-006
2	0	0	1	0	0	8,708271780010109E+002	-1,3042933E-001	-1,3089287E-001	-6,767597730899694E-002	3,000000000000000E+000	-2,0122571E+000	38	8,8583029E-006
2	0	0	1	0	0	8,714937779841712E+002	-1,3709526E-001	-1,3753636E-001	-6,902353986433396E-002	3,000000000000000E+000	-2,0123029E+000	38	9,4932466E-006
2	0	0	1	0	0	8,721603779673314E+002	-1,4376122E-001	-1,4422330E-001	-7,057641613147925E-002	3,000000000000000E+000	-2,0123494E+000	38	1,0178764E-005
2	0	0	1	0	0	8,728267779504968E+002	-1,5042537E-001	-1,5087426E-001	-7,179852378279983E-002	3,000000000000000E+000	-2,0123968E+000	38	1,0832549E-005
2	0	0	1	0	0	8,734933779336570E+002	-1,5709127E-001	-1,5754315E-001	-7,287667885084281E-002	3,000000000000000E+000	-2,0124450E+000	38	1,1481222E-005
2	0	0	1	0	0	8,741599779168173E+002	-1,6375721E-001	-1,6421285E-001	-7,454528674443646E-002	3,000000000000000E+000	-2,0124941E+000	38	1,2241294E-005
2	0	0	1	0	0	8,748264778999801E+002	-1,7042221E-001	-1,7089342E-001	-7,601691518519504E-002	3,000000000000000E+000	-2,0125442E+000	38	1,2990790E-005
2	0	0	1	0	0	8,754929778831429E+002	-1,7708728E-001	-1,7756595E-001	-7,784434508191729E-002	3,000000000000000E+000	-2,0125957E+000	38	1,3822505E-005
2	0	0	1	0	0	8,761595778663032E+002	-1,8375330E-001	-1,8423907E-001	-7,924402767216243E-002	3,000000000000000E+000	-2,0126479E+000	38	1,4599847E-005
2	0	0	1	0	0	8,768261778494634E+002	-1,9041926E-001	-1,9089666E-001	-8,074697037621043E-002	3,000000000000000E+000	-2,0127013E+000	38	1,5414327E-005
2	0	0	1	0	0	8,774925778326287E+002	-1,9708332E-001	-1,9754037E-001	-8,261984684205215E-002	3,000000000000000E+000	-2,0127559E+000	38	1,6320755E-005
2	0	0	1	0	0	8,781591778157890E+002	-2,0374934E-001	-2,0419030E-001	-8,419552727231738E-002	3,000000000000000E+000	-2,0128117E+000	38	1,7191909E-005
2	0	0	1	0	0	8,788257777989493E+002	-2,1041526E-001	-2,1086648E-001	-8,556737458733465E-002	3,000000000000000E+000	-2,0128684E+000	38	1,8043291E-005
2	0	0	1	0	0	8,794921777821146E+002	-2,1707918E-001	-2,1756555E-001	-8,769792388034953E-002	3,000000000000000E+000	-2,0129263E+000	38	1,9080047E-005
2	0	0	1	0	0	8,801587777652749E+002	-2,2374533E-001	-2,2421975E-001	-8,990060290941826E-002	3,000000000000000E+000	-2,0129859E+000	38	2,0157491E-005
2	0	0	1	0	0	8,808253777484351E+002	-2,3041122E-001	-2,3088706E-001	-9,237471253604568E-002	3,000000000000000E+000	-2,0130467E+000	38	2,1328126E-005
2	0	0	1	0	0	8,814918777315979E+002	-2,3707631E-001	-2,3752801E-001	-9,480324100349757E-002	3,000000000000000E+000	-2,0131094E+000	38	2,2518425E-005
2	0	0	1	0	0	8,821583777147607E+002	-2,4374138E-001	-2,4419707E-001	-9,779104336862976E-002	3,000000000000000E+000	-2,0131738E+000	38	2,3880286E-005
2	0	0	1	0	0	8,828249776979210E+002	-2,5040740E-001	-2,5087038E-001	-1,014083229015121E-001	3,000000000000000E+000	-2,0132403E+000	38	2,5440344E-005
2	0	0	1	0	0	8,834915776810813E+002	-2,5707334E-001	-2,5751427E-001	-1,051200312607605E-001	3,000000000000000E+000	-2,0133092E+000	38	2,7069907E-005
2	0	0	1	0	0	8,841579776642466E+002	-2,6373726E-001	-2,6421577E-001	-1,090677137872049E-001	3,000000000000000E+000	-2,0133808E+000	38	2,8817411E-005
2	0	0	1	0	0	8,848245776474068E+002	-2,7040341E-001	-2,7083951E-001	-1,133054423154531E-001	3,000000000000000E+000	-2,0134549E+000	38	3,0687592E-005
2	0	0	1	0	0	8,854911776305671E+002	-2,7706933E-001	-2,7750677E-001	-1,180499694192725E-001	3,000000000000000E+000	-2,0135319E+000	38	3,2759664E-005
2	0	0	1	0	0	8,861575776137324E+002	-2,8373328E-001	-2,8420907E-001	-1,242274219107595E-001	3,000000000000000E+000	-2,0136127E+000	38	3,5306559E-005
2	0	0	1	0	0	8,868241775968927E+002	-2,9039940E-001	-2,9088122E-001	-1,309589240851556E-001	3,000000000000000E+000	-2,0136979E+000	38	3,8093491E-005
2	0	0	1	0	0	8,874907775800530E+002	-2,9706535E-001	-2,9754877E-001	-1,373976188273144E-001	3,000000000000000E+000	-2,0137875E+000	38	4,0882493E-005
2	0	0	1	0	0	8,881572775632158E+002	-3,0373031E-001	-3,0419394E-001	-1,445235851012199E-001	3,000000000000000E+000	-2,0138817E+000	38	4,3963199E-005
2	0	0	1	0	0	8,888237775463786E+002	-3,1039527E-001	-3,1087235E-001	-1,522300072016389E-001	3,000000000000000E+000	-2,0139809E+000	38	4,7324098E-005
2	0	0	1	0	0	8,894903775295388E+002	-3,1706136E-001	-3,1750780E-001	-1,605334887803962E-001	3,000000000000000E+000	-2,0140853E+000	38	5,0970637E-005
2	0	0	1	0	0	8,901569775126991E+002	-3,2372734E-001	-3,2421175E-001	-1,687958227592837E-001	3,000000000000000E+000	-2,0141954E+000	38	5,4725588E-005
2	0	0	1	0	0	8,908233774958644E+002	-3,3039138E-001	-3,3085945E-001	-1,778712868846651E-001	3,000000000000000E+000	-2,0143113E+000	38	5,8850397E-005
2	0	0	1	0	0	8,914899774790247E+002	-3,3705738E-001	-3,3751220E-001	-1,874599295150488E-001	3,000000000000000E+000	-2,0144334E+000	38	6,3270010E-005
2	0	0	1	0	0	8,921565774621849E+002	-3,4372342E-001	-3,4415743E-001	-1,973831625590110E-001	3,000000000000000E+000	-2,0145621E+000	38	6,7930880E-005
2	0	0	1	0	0	8,928229774453503E+002	-3,5038733E-001	-3,5083559E-001	-2,083948018384594E-001	3,000000000000000E+000	-2,0146978E+000	38	7,3112315E-005
2	0	0	1	0	0	8,934895774285105E+002	-3,5705325E-001	-3,5750383E-001	-2,197632584730296E-001	3,000000000000000E+000	-2,0148406E+000	38	7,8566205E-005
2	0	0	1	0	0	8,941561774116708E+002	-3,6371937E-001	-3,6418420E-001	-2,311655978042966E-001	3,000000000000000E+000	-2,0149913E+000	38	8,4186860E-005
2	0	0	1	0	0	8,948226773948336E+002	-3,7038437E-001	-3,7085566E-001	-2,434223084502838E-001	3,000000000000000E+000	-2,0151496E+000	38	9,0274538E-005
2	0	0	1	0	0	8,954891773779964E+002	-3,7704936E-001	-3,7753418E-001	-2,563048616542560E-001	3,000000000000000E+000	-2,0153162E+000	38	9,6763848E-005
2	0	0	1	0	0	8,961557773611567E+002	-3,8371527E-001	-3,8421142E-001	-2,698759069538506E-001	3,000000000000000E+000	-2,0154920E+000	38	1,0368940E-004
2	0	0	1	0	0	8,968223773443169E+002	-3,9038140E-001	-3,9088711E-001	-2,846382220814583E-001	3,000000000000000E+000	-2,0156770E+000	38	1,1126141E-004
2	0	0	1	0	0	8,974887773274822E+002	-3,9704531E-001	-3,9754987E-001	-3,003039995773937E-001	3,000000000000000E+000	-2,0158720E+000	38	1,1938582E-004
2	0	0	1	0	0	8,981553773106425E+002	-4,0371123E-001	-4,0423766E-001	-3,163099334278128E-001	3,000000000000000E+000	-2,0160778E+000	38	1,2786439E-004
2	0	0	1	0	0	8,988219772938028E+002	-4,1037720E-001	-4,1089442E-001	-3,338685398710743E-001	3,000000000000000E+000	-2,0162947E+000	38	1,3718472E-004
2	0	0	1	0	0	8,994883772769681E+002	-4,1704139E-001	-4,1754392E-001	-3,522099821437090E-001	3,000000000000000E+000	-2,0165238E+000	38	1,4706314E-004
2	0	0	1	0	0	9,001549772601284E+002	-4,2370740E-001	-4,2418963E-001	-3,715617656224309E-001	3,000000000000000E+000	-2,0167654E+000	38	1,5761265E-004
2	0	0	1	0	0	9,008215772432886E+002	-4,3037337E-001	-4,3085068E-001	-3,926763836570526E-001	3,000000000000000E+000	-2,0170205E+000	38	1,6918489E-004
2	0	0	1	0	0	9,014880772264514E+002	-4,3703848E-001	-4,3753737E-001	-4,152897723182107E-001	3,000000000000000E+000	-2,0172904E+000	38	1,8170479E-004
2	0	0	1	0	0	9,021545772096142E+002	-4,4370341E-001	-4,4415498E-001	-4,388056479943749E-001	3,000000000000000E+000	-2,0175755E+000	38	1,9489772E-004
2	0	0	1	0	0	9,028211771927745E+002	-4,5036936E-001	-4,5084408E-001	-4,640324270005234E-001	3,000000000000000E+000	-2,0178771E+000	38	2,0920628E-004
2	0	0	1	0	0	9,034877771759348E+002	-4,5703548E-001	-4,5750681E-001	-4,908458111303853E-001	3,000000000000000E+000	-2,0181959E+000	38	2,2456530E-004
2	0	0	1	0	0	9,041541771591001E+002	-4,6369940E-001	-4,6416113E-001	-5,187122122209518E-001	3,000000000000000E+000	-2,0185328E+000	38	2,4076605E-004
2	0	0	1	0	0	9,048207771422603E+002	-4,7036535E-001	-4,7086266E-001	-5,481785520033086E-001	3,000000000000000E+000	-2,0188892E+000	38	2,5811681E-004
2	0	0	1	0	0	9,054873771254206E+002	-4,7703138E-001	-4,7750968E-001	-5,800165468658487E-001	3,000000000000000E+000	-2,0192659E+000	38	2,7696352E-004
2	0	0	1	0	0	9,061537771085859E+002	-4,8369539E-001	-4,8418546E-001	-6,129881803043897E-001	3,000000000000000E+000	-2,0196640E+000	38	2,9679996E-004
2	0	0	1	0	0	9,068203770917462E+002	-4,9036133E-001	-4,9084866E-001	-6,482046655278833E-001	3,000000000000000E+000	-2,0200853E+000	38	3,1817038E-004
2	0	0	1	0	0	9,074869770749065E+002	-4,9702731E-001	-4,9751282E-001	-6,851160642302059E-001	3,000000000000000E+000	-2,0205305E+000	38	3,4085402E-004
2	0	0	1	0	0	9,081535770580667E+002	-5,0369340E-001	-5,0417662E-001	-7,229189732472969E-001	3,000000000000000E+000	-2,0210001E+000	38	3,6447885E-004
2	0	0	1	0	0	9,088199770412321E+002	-5,1035750E-001	-5,1084983E-001	-7,615483940800796E-001	3,000000000000000E+000	-2,0214956E+000	38	3,8903687E-004
2	0	0	1	0	0	9,094865770243923E+002	-5,1702350E-001	-5,1749784E-001	-8,011136384811870E-001	3,000000000000000E+000	-2,0220170E+000	38	4,1457458E-004
2	0	0	1	0	0	9,101531770075526E+002	-5,2368939E-001	-5,2419108E-001	-8,418784410535061E-001	3,000000000000000E+000	-2,0225651E+000	38	4,4130516E-004
2	0	0	1	0	0	9,108195769907179E+002	-5,3035349E-001	-5,3084725E-001	-8,828510994630676E-001	3,000000000000000E+000	-2,0231404E+000	38	4,6865907E-004
2	0	0	1	0	0	9,114861769738782E+002	-5,3701937E-001	-5,3753328E-001	-9,243548284136995E-001	3,000000000000000E+000	-2,0237436E+000	38	4,9687148E-004
2	0	0	1	0	0	9,121527769570384E+002	-5,4368532E-001	-5,4419404E-001	-9,642377891262210E-001	3,000000000000000E+000	-2,0243738E+000	38	5,2473246E-004
2	0	0	1	0	0	9,128192769402012E+002	-5,5035031E-001	-5,5083823E-001	-1,001172221237194E+000	3,000000000000000E+000	-2,0250294E+000	38	5,5148394E-004
2	0	0	1	0	0	9,134857769233640E+002	-5,5701542E-001	-5,5751365E-001	-1,036079732293608E+000	3,000000000000000E+000	-2,0257092E+000	38	5,7762861E-004
2	0	0	1	0	0	9,141523769065243E+002	-5,6368142E-001	-5,6421417E-001	-1,070013628469916E+000	3,000000000000000E+000	-2,0264118E+000	38	6,0371688E-004
2	0	0	1	0	0	9,148189768896846E+002	-5,7034737E-001	-5,7084912E-001	-1,104239226105671E+000	3,000000000000000E+000	-2,0271370E+000	38	6,3035398E-004
2	0	0	1	0	0	9,154853768728499E+002	-5,7701147E-001	-5,7750750E-001	-1,141279700528922E+000	3,000000000000000E+000	-2,0278862E+000	38	6,5909757E-004
2	0	0	1	0	0	9,161519768560102E+002	-5,8367741E-001	-5,8416909E-001	-1,183151920399006E+000	3,000000000000000E+000	-2,0286620E+000	38	6,9116079E-004
2	0	0	1	0	0	9,168185768391704E+002	-5,9034330E-001	-5,9082741E-001	-1,224974159414014E+000	3,000000000000000E+000	-2,0294652E+000	38	7,2374829E-004
2	0	0	1	0	0	9,174849768223357E+002	-5,9700733E-001	-5,9749997E-001	-1,269860663278472E+000	3,000000000000000E+000	-2,0302973E+000	38	7,5874169E-004
2	0	0	1	0	0	9,181515768054960E+002	-6,0367358E-001	-6,0414416E-001	-1,318200904744110E+000	3,000000000000000E+000	-2,0311608E+000	38	7,9638336E-004
2	0	0	1	0	0	9,188181767886563E+002	-6,1033940E-001	-6,1082071E-001	-1,370087760539910E+000	3,000000000000000E+000	-2,0320575E+000	38	8,3687797E-004
2	0	0	1	0	0	9,194846767718191E+002	-6,1700439E-001	-6,1751276E-001	-1,425215008392822E+000	3,000000000000000E+000	-2,0329897E+000	38	8,8008848E-004
2	0	0	1	0	0	9,201511767549819E+002	-6,2366945E-001	-6,2417191E-001	-1,483790533840351E+000	3,000000000000000E+000	-2,0339603E+000	38	9,2614035E-004
2	0	0	1	0	0	9,208177767381421E+002	-6,3033557E-001	-6,3084704E-001	-1,545224463205461E+000	3,000000000000000E+000	-2,0349710E+000	38	9,7480026E-004
2	0	0	1	0	0	9,214843767213024E+002	-6,3700145E-001	-6,3749802E-001	-1,609221422514086E+000	3,000000000000000E+000	-2,0360234E+000	38	1,0258754E-003
2	0	0	1	0	0	9,221507767044677E+002	-6,4366543E-001	-6,4416325E-001	-1,676686584467078E+000	3,000000000000000E+000	-2,0371196E+000	38	1,0800599E-003
2	0	0	1	0	0	9,228173766876280E+002	-6,5033150E-001	-6,5083086E-001	-1,747133137037220E+000	3,000000000000000E+000	-2,0382621E+000	38	1,1370882E-003
2	0	0	1	0	0	9,234839766707883E+002	-6,5699744E-001	-6,5747529E-001	-1,819395461436024E+000	3,000000000000000E+000	-2,0394523E+000	38	1,1962076E-003
2	0	0	1	0	0	9,241503766539536E+002	-6,6366136E-001	-6,6416430E-001	-1,894558545229583E+000	3,000000000000000E+000	-2,0406911E+000	38	1,2582982E-003
2	0	0	1	0	0	9,248169766371138E+002	-6,7032737E-001	-6,7084301E-001	-1,972428959544928E+000	3,000000000000000E+000	-2,0419812E+000	38	1,3231902E-003
2	0	0	1	0	0	9,254835766202741E+002	-6,7699331E-001	-6,7748272E-001	-2,052057056964703E+000	3,000000000000000E+000	-2,0433240E+000	38	1,3902332E-003
2	0	0	1	0	0	9,261500766034369E+002	-6,8365836E-001	-6,8418115E-001	-2,134131632764333E+000	3,000000000000000E+000	-2,0447204E+000	38	1,4601327E-003
2	0	0	1	0	0	9,268165765865997E+002	-6,9032353E-001	-6,9086897E-001	-2,217244672586769E+000	3,000000000000000E+000	-2,0461719E+000	38	1,5318255E-003
2	0	0	1	0	0	9,274831765697600E+002	-6,9698942E-001	-6,9752842E-001	-2,301758032587085E+000	3,000000000000000E+000	-2,0476794E+000	38	1,6055417E-003
2	0	0	1	0	0	9,281497765529202E+002	-7,0365554E-001	-7,0419925E-001	-2,387667023618221E+000	3,000000000000000E+000	-2,0492439E+000	38	1,6813934E-003
2	0	0	1	0	0	9,288161765360856E+002	-7,1031946E-001	-7,1084458E-001	-2,475665113025908E+000	3,000000000000000E+000	-2,0508659E+000	38	1,7598132E-003
2	0	0	1	0	0	9,294827765192458E+002	-7,1698546E-001	-7,1751392E-001	-2,564859467315131E+000	3,000000000000000E+000	-2,0525477E+000	38	1,8403224E-003
2	0	0	1	0	0	9,301493765024061E+002	-7,2365153E-001	-7,2420037E-001	-2,656542810584298E+000	3,000000000000000E+000	-2,0542896E+000	38	1,9238692E-003
2	0	0	1	0	0	9,308157764855714E+002	-7,3031545E-001	-7,3084599E-001	-2,749194834021713E+000	3,000000000000000E+000	-2,0560925E+000	38	2,0092381E-003
2	0	0	1	0	0	9,314823764687317E+002	-7,3698139E-001	-7,3754406E-001	-2,843871565027523E+000	3,000000000000000E+000	-2,0579584E+000	38	2,0974805E-003
2	0	0	1	0	0	9,321489764518919E+002	-7,4364734E-001	-7,4421054E-001	-2,942221947701036E+000	3,000000000000000E+000	-2,0598886E+000	38	2,1896325E-003
2	0	0	1	0	0	9,328154764350547E+002	-7,5031245E-001	-7,5087821E-001	-3,041552035348147E+000	3,000000000000000E+000	-2,0618844E+000	38	2,2838351E-003
2	0	0	1	0	0	9,334819764182175E+002	-7,5697738E-001	-7,5752157E-001	-3,135915089375221E+000	3,000000000000000E+000	-2,0639446E+000	38	2,3755233E-003
2	0	0	1	0	0	9,341485764013778E+002	-7,6364326E-001	-7,6417220E-001	-3,231489046780425E+000	3,000000000000000E+000	-2,0660684E+000	38	2,4694141E-003
2	0	0	1	0	0	9,348151763845381E+002	-7,7030927E-001	-7,7085847E-001	-3,330208392727840E+000	3,000000000000000E+000	-2,0682569E+000	38	2,5671194E-003
2	0	0	1	0	0	9,354815763677034E+002	-7,7697355E-001	-7,7752483E-001	-3,430784884185876E+000	3,000000000000000E+000	-2,0705113E+000	38	2,6675204E-003
2	0	0	1	0	0	9,361481763508637E+002	-7,8363949E-001	-7,8417778E-001	-3,531943855082005E+000	3,000000000000000E+000	-2,0728338E+000	38	2,7696718E-003
2	0	0	1	0	0	9,368147763340239E+002	-7,9030561E-001	-7,9084617E-001	-3,633283450739370E+000	3,000000000000000E+000	-2,0752237E+000	38	2,8733683E-003
2	0	0	1	0	0	9,374811763171892E+002	-7,9696953E-001	-7,9748768E-001	-3,736314303869438E+000	3,000000000000000E+000	-2,0776813E+000	38	2,9796646E-003
2	0	0	1	0	0	9,381477763003495E+002	-8,0363548E-001	-8,0418271E-001	-3,843810934683987E+000	3,000000000000000E+000	-2,0802095E+000	38	3,0911262E-003
2	0	0	1	0	0	9,388143762835098E+002	-8,1030148E-001	-8,1085694E-001	-3,951900294973612E+000	3,000000000000000E+000	-2,0828097E+000	38	3,2044258E-003
2	0	0	1	0	0	9,394809762666700E+002	-8,1696737E-001	-8,1750828E-001	-4,061568610132156E+000	3,000000000000000E+000	-2,0854826E+000	38	3,3203659E-003
2	0	0	1	0	0	9,401473762498354E+002	-8,2363147E-001	-8,2414514E-001	-4,175572501179808E+000	3,000000000000000E+000	-2,0882294E+000	38	3,4412779E-003
2	0	0	1	0	0	9,408139762329956E+002	-8,3029747E-001	-8,3082736E-001	-4,297879241008983E+000	3,000000000000000E+000	-2,0910556E+000	38	3,5707958E-003
2	0	0	1	0	0	9,414805762161559E+002	-8,3696353E-001	-8,3749646E-001	-4,414441479782610E+000	3,000000000000000E+000	-2,0939617E+000	38	3,6970791E-003
2	0	0	1	0	0	9,421469761993212E+002	-8,4362745E-001	-8,4415251E-001	-4,531999770079096E+000	3,000000000000000E+000	-2,0969446E+000	38	3,8256990E-003
2	0	0	1	0	0	9,428135761824815E+002	-8,5029346E-001	-8,5082847E-001	-4,651821668688768E+000	3,000000000000000E+000	-2,1000075E+000	38	3,9579021E-003
